filepath,filename,modality,vocal_channel,emotion_code,emotion_label,intensity,statement,repetition,actor,duration_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_13_mean,pitch_mean_hz,pitch_std_hz,pitch_range_hz,voiced_fraction,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_contrast_mean,zcr_mean,zcr_std,rms_energy_mean,rms_energy_std,rms_energy_max,chroma_mean,chroma_std,tempo_bpm,speech_ratio,silence_ratio,num_segments
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,03,01,02,calm,strong,dogs,01,01,4.2042,-704.541321,201.42598,68.829437,76.130478,4.728955,20.752439,11.950599,19.421368,5.638883,17.652561,5.834094,11.834845,-4.862491,12.014304,-4.862799,13.891216,-8.308453,14.063379,-4.876191,10.692221,2.317922,10.455299,1.222751,6.918095,0.595495,8.251189,-0.281505,-0.221724,-0.042253,-0.017943,-0.051812,-0.014185,0.039842,0.061387,0.077281,0.073368,0.015999,0.004691,0.00304,408.4007,605.239,2139.7633,1.0,3113.1554,1832.3736,2478.7291,5556.8087,20.4796,0.33751,0.295298,0.002096,0.002257,0.006752,0.513756,0.318795,135.9992,0.5523,0.4477,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,03,01,02,calm,strong,dogs,02,01,4.004,-690.995728,194.000183,65.293373,74.943581,-3.5145,24.799223,14.551637,19.133106,6.737837,17.099615,2.951479,12.411932,-4.367008,12.440816,-8.268066,12.236287,-9.742737,13.147893,-3.713579,9.561582,3.773647,10.511813,-0.958789,7.620986,-0.266222,8.008142,0.02442,0.034272,0.033488,0.032209,0.030479,0.028353,0.025899,0.023195,0.020323,0.017368,0.014414,0.01154,0.008818,372.963,527.4738,2139.7633,1.0,3214.0083,1795.1722,2465.483,5743.3285,20.0225,0.330191,0.270269,0.002133,0.002646,0.010148,0.540088,0.306288,184.5703,0.4929,0.5071,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,03,01,03,happy,normal,kids,01,01,3.4702,-645.954651,191.659271,63.116699,68.679352,-4.388944,22.221069,12.588353,21.270601,4.241157,18.285112,-2.902262,15.503862,-5.671873,12.400479,-6.623363,12.204157,-11.532383,16.809633,-2.380414,10.542315,-1.291013,10.594507,-6.802653,11.008918,1.182794,9.229126,0.00398,0.00562,0.005593,0.005548,0.005486,0.005407,0.005313,0.005203,0.005079,0.004942,0.004793,0.004633,0.004464,183.4501,256.3659,1936.9822,1.0,3067.9117,1516.3417,2581.1256,5914.8838,20.4175,0.401143,0.310055,0.004263,0.005748,0.020459,0.567604,0.307314,143.5547,0.4282,0.5718,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,03,01,03,happy,normal,kids,02,01,3.4702,-631.406982,185.440628,62.999477,67.927635,-5.81921,27.446724,15.460055,20.62516,6.526638,17.871485,-1.588887,17.005108,-6.597417,15.471493,-4.806329,11.885175,-13.677246,19.879639,-1.364501,10.606787,0.133366,8.942717,-6.366865,12.541375,3.405448,10.748349,-0.007162,-0.010116,-0.010078,-0.010015,-0.009927,-0.009814,-0.009678,-0.009518,-0.009336,-0.009133,-0.008908,-0.008665,-0.008402,411.7175,603.2378,1978.113,1.0,2897.8823,1552.4376,2486.1537,5634.4497,20.4486,0.333294,0.288288,0.004905,0.006699,0.025787,0.559334,0.31105,135.9992,0.4416,0.5584,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,03,01,03,happy,normal,dogs,01,01,3.5369,-656.228882,183.745041,62.206532,71.615456,-2.343208,23.431107,12.91607,19.247225,1.824128,17.316153,-0.170713,16.750135,-5.66999,12.834376,-7.286775,13.950139,-13.776975,16.924198,-3.312202,11.252881,2.361758,10.437127,-7.00143,10.052917,1.930778,9.724647,0.000536,0.000759,0.000757,0.000753,0.000748,0.000741,0.000732,0.000722,0.000711,0.000698,0.000684,0.000669,0.000652,543.323,711.0483,2139.7633,1.0,3162.4389,1626.9233,2522.1048,5921.3494,20.3121,0.3624,0.276205,0.003749,0.005175,0.017825,0.5367,0.310108,95.7031,0.4202,0.5798,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,03,01,03,happy,normal,dogs,02,01,3.7037,-652.700562,197.305466,57.02253,69.85067,0.41844,22.725336,18.289316,22.733356,2.630988,19.456915,0.418355,18.39583,-2.529273,13.273219,-6.284706,13.348994,-13.434198,18.890228,-3.618145,11.496058,0.616987,11.457887,-4.589428,11.691517,2.576322,9.171533,-0.098495,0.004543,-0.126235,-0.015364,-0.094053,-0.042893,-0.058763,-0.062245,-0.034571,-0.064649,-0.025588,-0.052665,-0.025889,292.5812,457.3947,1618.2422,1.0,3184.6928,1631.4738,2526.3257,5917.2569,20.713,0.396259,0.304703,0.003753,0.004649,0.015058,0.524205,0.325677,172.2656,0.4702,0.5298,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,03,01,03,happy,strong,kids,01,01,3.6703,-596.558105,191.165253,49.15078,57.88937,-5.986516,22.633562,5.608569,17.902393,-1.271635,22.436981,-1.206762,14.9781,-12.037279,20.298607,-8.81426,12.55938,-11.101424,13.765852,-8.968306,12.890245,-0.68171,9.271588,-7.052578,11.42695,-1.901377,8.494052,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.9926,479.205,2139.7633,1.0,3169.5117,1436.8907,2587.3197,6018.2594,20.6775,0.359602,0.272781,0.006439,0.008911,0.038033,0.497766,0.314605,123.0469,0.4365,0.5635,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,03,01,03,happy,strong,kids,02,01,3.637,-559.92334,170.347321,54.875935,56.894173,-11.518561,24.507143,5.495306,15.915642,2.415871,21.367651,-1.864292,13.642968,-11.11178,17.476547,-7.596749,12.93615,-14.508148,19.506649,-7.433644,17.009281,3.263153,9.815013,-7.886474,13.446646,-1.649895,8.938029,0.008734,0.006836,-0.002527,-0.004789,-0.000588,0.000885,-0.00298,-0.005203,-0.001533,0.002873,0.002354,-0.000455,0.000201,591.1684,613.4357,1978.3689,1.0,2615.5579,1320.4267,2385.4489,5040.2782,20.9619,0.259666,0.210646,0.008205,0.011883,0.057447,0.486903,0.328796,112.3471,0.4214,0.5786,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,03,01,03,happy,strong,dogs,01,01,3.9373,-517.756958,178.141006,48.020119,59.3521,-10.22142,25.693033,7.83182,17.176888,-0.172148,20.396305,-2.173067,18.268587,-10.422513,16.543322,-9.233612,14.189692,-17.878963,20.891912,-4.913382,12.084302,0.001701,11.146794,-9.143922,12.900264,0.118756,8.559397,-0.003609,-0.003676,-0.001451,-0.001619,-0.003894,-0.004964,-0.003283,-0.001258,-0.001723,-0.003888,-0.00457,-0.002785,-0.001058,485.8333,631.7545,2139.7633,1.0,2993.6174,1366.6758,2447.2763,5561.7097,21.7173,0.290547,0.22381,0.010929,0.013643,0.046837,0.472118,0.317363,184.5703,0.4836,0.5164,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,03,01,03,happy,strong,dogs,02,01,3.9373,-539.198547,192.700287,49.672794,63.136929,-8.996246,26.504997,6.914048,17.736677,-1.124003,21.183884,-3.329547,17.78443,-9.793234,15.950927,-9.628173,15.831577,-17.208342,19.69425,-7.140059,11.913086,-1.767852,8.711882,-7.01247,12.102665,-0.280771,9.091818,-0.000316,-0.000572,-0.000737,-0.000673,-0.000531,-0.000616,-0.000839,-0.000835,-0.00059,-0.000489,-0.000677,-0.000792,-0.00056,444.6559,587.6694,2139.7633,1.0,3185.7991,1560.3648,2534.1048,5961.214,21.4883,0.336768,0.273764,0.01022,0.01268,0.043506,0.501324,0.326426,95.7031,0.4895,0.5105,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,03,01,04,sad,normal,kids,01,01,3.8372,-680.849854,167.457306,60.804207,67.462509,-1.956048,21.176096,14.204766,21.027464,6.827088,16.256081,-2.881166,14.516966,-2.462923,11.664263,-8.663905,12.626629,-11.039645,14.12029,-4.454039,8.725623,-4.258486,8.720791,-1.695051,8.933651,-0.858215,9.767116,-1e-06,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,487.6272,674.0741,2139.7633,1.0,3160.3961,1619.8145,2559.5603,5918.9068,19.2253,0.29881,0.274103,0.002151,0.003041,0.015121,0.545551,0.320304,107.666,0.4417,0.5583,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,03,01,04,sad,normal,kids,02,01,3.5702,-699.104248,183.15007,65.496918,67.883163,-1.099551,25.493999,16.531912,21.630011,8.523047,16.512789,-0.467123,15.339289,0.173821,10.52704,-7.589048,12.278776,-10.304403,12.848598,-5.52547,8.287668,-1.74545,8.574749,-2.015857,7.97997,-1.752848,7.628949,0.052442,0.059109,0.027427,0.004057,-0.000635,0.004373,0.007097,0.005234,0.003312,0.004455,0.007398,0.008745,0.006886,317.1771,461.9516,1621.596,1.0,3081.1959,1567.3302,2597.2816,5996.1581,19.8116,0.344891,0.265412,0.002002,0.002839,0.011241,0.540959,0.312019,123.0469,0.4423,0.5577,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,03,01,04,sad,normal,dogs,01,01,3.5035,-735.523987,193.16304,60.409447,75.671471,-3.443985,22.890175,14.033259,20.470211,6.590171,15.34865,-1.768474,14.443164,-1.731575,8.48878,-7.569149,13.253421,-10.976078,14.901537,-3.822177,9.85467,-0.996582,8.219911,-1.354368,5.261295,-1.28448,7.980799,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,403.9113,601.7993,2139.4185,1.0,3417.7812,1781.0092,2545.697,6221.9549,18.6068,0.276277,0.23179,0.001752,0.002453,0.009875,0.606589,0.303792,71.7773,0.4175,0.5825,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,03,01,04,sad,normal,dogs,02,01,3.3701,-711.786194,189.772339,59.567207,73.260841,0.710945,23.748789,15.603702,23.067032,6.023351,14.36729,-0.162292,13.789436,1.246118,8.542359,-7.515769,13.335856,-12.228474,17.745945,-3.974105,8.822206,-2.396071,9.83238,-2.467366,6.835893,-0.061853,7.213188,-0.06239,-0.085868,-0.079147,-0.069079,-0.057046,-0.044468,-0.032508,-0.021921,-0.013062,-0.006024,-0.000806,0.002557,0.003985,461.5155,631.5264,1941.9031,1.0,3328.1353,1718.7535,2570.8971,6198.1703,19.1934,0.345405,0.268479,0.002294,0.00318,0.011487,0.564666,0.308518,71.7773,0.4203,0.5797,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,03,01,04,sad,strong,kids,01,01,3.8038,-669.919495,175.87738,62.426224,72.551788,0.902357,23.560417,16.833582,22.491936,7.81178,16.025703,-1.847559,15.982397,-0.910654,10.245459,-7.485838,13.655262,-9.419271,15.625599,-1.507419,9.846392,-2.440096,10.027296,-2.624329,9.562918,-0.141115,8.492119,-0.088945,-0.120077,-0.106257,-0.091173,-0.079366,-0.070575,-0.062591,-0.055396,-0.051583,-0.053016,-0.058161,-0.063312,-0.065919,607.7255,736.3973,2139.7633,1.0,3014.5749,1649.6387,2544.9145,5820.5955,20.1657,0.325514,0.287571,0.002926,0.003709,0.014596,0.557403,0.320142,107.666,0.4761,0.5239,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,03,01,04,sad,strong,kids,02,01,3.7037,-627.470459,180.39006,50.890545,66.47023,-4.893386,23.961998,10.507071,17.968321,3.70411,16.855293,-3.614306,15.303484,-8.667972,12.854664,-7.146423,12.532909,-15.135483,19.214703,-4.434602,8.164543,-2.204541,8.764832,-6.959076,11.474142,0.331161,8.782308,-1e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,458.4651,581.269,2139.7633,1.0,3370.3058,1604.3289,2620.183,6317.5726,19.8329,0.317941,0.252157,0.004809,0.007123,0.031299,0.540006,0.320253,89.1029,0.4138,0.5862,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,03,01,04,sad,strong,dogs,01,01,3.7371,-620.267761,181.412369,54.993256,71.531807,-5.729505,26.365494,13.725473,19.198189,3.938453,16.256159,-2.741892,16.970049,-6.81774,11.311376,-9.286634,15.69355,-18.480108,23.510601,-4.893465,8.496956,-2.272598,7.434997,-7.261102,10.395111,0.36146,9.312573,-1e-06,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0203,396.0513,1847.5095,1.0,3189.5399,1633.8128,2504.5347,5997.9333,20.5025,0.324452,0.268346,0.005031,0.006701,0.026761,0.54784,0.324539,103.3594,0.4536,0.5464,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,03,01,04,sad,strong,dogs,02,01,3.7371,-605.888977,200.957352,50.817352,65.640144,-4.100936,21.855806,13.333532,19.944304,2.314354,14.248703,-3.124965,16.936165,-6.993569,12.176868,-8.87111,15.496387,-15.973221,21.904253,-3.851796,8.971663,-1.360327,10.247009,-6.091596,10.262933,0.433291,9.760955,-2e-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,290.9108,426.8029,1969.6579,1.0,3335.6538,1624.5551,2577.8341,6205.3074,20.6767,0.36683,0.292822,0.006124,0.007581,0.025069,0.535433,0.332182,184.5703,0.466,0.534,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,03,01,05,angry,normal,kids,01,01,3.8706,-546.11554,188.987778,42.515808,59.248249,-6.019243,22.100491,12.645123,25.018078,-1.407863,19.276707,-2.79391,17.6269,-4.314088,14.15081,-1.458028,10.559567,-12.457061,16.447424,-4.777245,11.738012,-0.857797,10.942524,-4.766826,9.106529,-0.710253,7.348904,-1e-06,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,445.6306,575.5581,2139.7633,1.0,3314.3681,1534.0317,2543.1745,6119.04,19.8864,0.333572,0.276751,0.008675,0.012278,0.05236,0.508004,0.310845,112.3471,0.4439,0.5561,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,03,01,05,angry,normal,kids,02,01,3.9373,-526.278503,190.558075,40.100624,54.784904,-5.406286,26.895554,8.086061,23.977358,-3.384435,24.071804,-3.656371,14.922957,-7.031596,17.196913,-8.578679,12.314756,-13.111328,14.864634,-6.569745,12.168759,-4.498286,9.917762,-6.661969,9.42039,-3.472775,8.260054,-0.001401,-0.001841,-0.001447,-0.000854,-0.000151,0.000562,0.001183,0.001629,0.001842,0.001802,0.001525,0.001059,0.000475,480.2188,597.0516,2139.7633,1.0,3470.7353,1609.8216,2646.2919,6414.5512,20.1386,0.328507,0.24589,0.009701,0.012427,0.047083,0.501323,0.318612,107.666,0.5013,0.4987,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,03,01,05,angry,normal,dogs,01,01,3.5035,-570.98291,182.292587,45.415054,66.251877,-1.562791,21.761066,11.880344,22.149826,-0.43858,19.057537,-1.789022,17.72139,-5.26024,12.888666,-6.614148,11.587413,-13.445087,18.350428,-4.125199,9.079684,-3.681513,10.235953,-4.405501,9.604793,-1.00225,7.787481,-0.005272,-0.005966,-0.002537,0.001176,0.004887,0.009013,0.012724,0.014259,0.013135,0.01067,0.008001,0.004913,0.001249,504.3443,642.3653,1929.5385,1.0,3191.9164,1435.4911,2589.1517,6016.2486,20.0897,0.385568,0.280023,0.006903,0.00984,0.03748,0.551199,0.313498,83.3543,0.4308,0.5692,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,03,01,05,angry,normal,dogs,02,01,3.7371,-530.829285,186.036438,44.267376,67.581116,-2.864132,24.550323,8.589871,19.939631,0.015043,18.397848,-3.485091,19.911007,-4.35232,14.024557,-6.577349,11.424588,-15.150322,20.168055,-4.991028,10.783038,-2.581337,11.518557,-5.787801,10.773059,0.282959,9.472466,-0.011218,-0.008775,0.006078,0.015321,0.010806,-0.003112,-0.013788,-0.011898,0.000314,0.011537,0.011955,0.001931,-0.008952,521.0243,630.6374,1958.92,1.0,3196.3816,1493.9061,2527.4722,5948.6477,20.8249,0.33393,0.250004,0.010876,0.015052,0.062189,0.505951,0.311672,103.3594,0.4536,0.5464,2
